gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
PAM16,0.2621271953814559,0.3952927904830274,11794,non-target,unlabeled,,,,1.02,-1.11,0,0.0,,0.1561765076402525,1.2775854995559184,-2.1390113112717244,-2.812354125386514,,,,,,,,,,,,,,0
PRDX3,0.2621019432055099,0.3952415136909035,11795,non-target,unlabeled,,0.2091951899649005,0.2091951899649005,0.957,-0.0874,0,0.0,5.877197552244273,-0.258449667297092,3.020154482120732,-1.540257414739652,-2.673886234552562,0.8037529319781079,0.5545084055017829,0.3243455497382199,0.479407382239888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CHST3,0.2620765290738362,0.3951902368987796,11796,non-target,unlabeled,,,,0.822,-0.378,0,0.0,,-0.387729979736716,0.4770331669555209,4.461527910292712,8.036425909119632,,,,,,,,,,,,,,0
SP5,0.2620232263579964,0.3951389601066557,11797,non-target,unlabeled,,0.0761885941685553,0.0761885941685553,0.71,-1.23,0,0.077269,,1.1337200213710112,1.584630086760409,2.3930203200807254,-3.9813671719817103,0.8756841282251759,0.1943453897096281,0.7840314136125655,0.6813387385155478,,,,0.0,0.0,0.0,0.0,2.0,0.0,1
TTC23L,0.262013607786089,0.3950876833145318,11798,non-target,unlabeled,,,,1.13,0.623,0,0.07795,,0.589046882763818,-0.4452432576575661,,1.6276465423268909,,,,,,,,,,,,,,0
INPP5K,0.2619628785981744,0.3950364065224079,11799,non-target,unlabeled,,0.3674328798433297,0.3674328798433297,0.868,0.638,0,0.388612,-3.3696993932175707,-0.0353427402232198,0.1905627793730821,1.7844459580807732,0.0361846736646014,0.396664060463904,0.6023942944472745,0.3732984293193717,0.2290958651279028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TFF2,0.2619602015736151,0.394985129730284,11800,non-target,unlabeled,,,,1.74,-0.0413,0,0.0,,,,,,,,,,,,,,,,,,,0
HEYL,0.2619154910349475,0.3949338529381602,11801,non-target,unlabeled,,,,1.05,0.5,0,0.0,,-0.4233832928476986,2.002703535354942,,2.085021975157848,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
UACA,0.2618978839329999,0.3948825761460363,11802,non-target,unlabeled,,,,0.817,0.43,0,0.127584,,0.4962181130375742,-0.2773360356729876,-0.0150715890344568,5.919227356989529,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
SPO11,0.261896687350711,0.3948312993539124,11803,non-target,unlabeled,,,,1.2,0.83,0,0.0,,,,,,,,,,,,,,,,,,,0
ZNF740,0.2618894120536479,0.3947800225617885,11804,non-target,unlabeled,,,,0.881,1.27,0,0.288192,-21.71749047511474,0.3117063336871548,0.280277779519701,2.3321749218471917,0.565437688314814,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
